name	aeroway	@lat	@lon
	helipad	43.5750768	3.9600752
	helipad	43.5754238	3.9632335
	helipad	43.5754400	3.9597680
	helipad	43.5756728	3.9597781
Détachement hélicoptère Sécurité civile	helipad	44.5054871	3.5288187
	helipad	45.7915050	3.1514634
	helipad	45.7914747	3.1520097
	helipad	43.3782069	-0.4078654
	helipad	43.3782681	-0.4080944
	helipad	43.3783660	-0.4079799
	helipad	43.3783378	-0.4083132
	helipad	43.3797108	-0.4106866
	helipad	43.3803305	-0.4118646
	helipad	51.3464393	7.5977617
	helipad	48.5394173	7.6378997
	helipad	48.8339515	2.2730714
	helipad	48.8340290	2.2728254
	helipad	42.9964966	6.3978678
	helipad	46.3362464	8.8451278
	helipad	51.0186708	-1.6284442
	helipad	42.5320715	2.9567465
	helipad	46.4448707	4.1241614
	helipad	50.5830254	2.5071841
	helipad	43.6865628	-1.0703637
	helipad	45.1414943	0.5352806
"Heliport ULM ""des Roses"""	heliport	44.5722066	0.9182898
	helipad	42.2675640	-2.5436557
	helipad	45.3129019	7.3085910
	helipad	49.3415311	7.1830456
	helipad	46.3105002	6.0775264
	helipad	49.8805788	8.6219206
unknown name helipad	helipad	50.5213191	-4.1499335
School farm helipad	helipad	51.0326629	-1.5665660
Action Concept	helipad	50.8810039	6.9050842
	helipad	50.8639192	6.8232984
	helipad	42.8587372	-2.6186661
Base elisoccorso 118	helipad	45.0042348	8.4880832
	helipad	45.8872795	8.1617978
	helipad	50.7492551	4.7709489
	helipad	51.0975985	2.6420162
	helipad	51.2726602	-0.7760420
	helipad	51.2757241	-0.7837010
	helipad	51.1999394	0.5696992
Helipuerto de Polientes	helipad	42.8053917	-3.9459277
Pettings Park House	helipad	51.3404157	0.3242087
	helipad	51.4439998	-2.2795929
	helipad	43.7441842	4.1507822
Base Heli UL de Lapte	heliport	45.1658695	4.2108415
Heli UL Adiac	heliport	45.1275114	3.9591110
	helipad	50.7714522	3.0279579
	helipad	49.0157254	8.3764087
	helipad	49.4350847	1.0592843
	helipad	50.2246224	1.6126519
	helipad	48.7786065	2.2452812
	helipad	51.2725660	0.3552031
	helipad	51.4366511	0.2557063
Héliport de Paris - Issy-les-Moulineaux	heliport	48.8332421	2.2730561
Bonn-Hardthoehe	heliport	50.6966996	7.0451303
	helipad	51.3178395	0.1550114
Ospedale San Martino	helipad	44.4109313	8.9736027
Hover Square	helipad	51.2117837	-0.1381441
	helipad	50.5688264	-2.4503873
Elisuperficie CTO Torino	helipad	45.0337014	7.6752304
	helipad	51.4055664	6.9408356
Dachlandeplatz Triemli	helipad	47.3665535	8.4974585
	helipad	50.8334332	-1.0966473
	helipad	50.3598634	7.5710110
	helipad	47.6914406	8.7681780
	helipad	51.4277200	7.0096826
	helipad	48.7271626	2.1546127
	helipad	46.2349260	6.0458382
	helipad	48.7835471	2.0711166
Lions 1	helipad	47.4443151	8.2336589
Heliport Saffig	heliport	50.3735447	7.4312245
	helipad	48.2617624	7.4322507
